,RegionName,Date,HomePrice,SchoolRating,CrimeRate,DesirabilityScore
4404,Pennsylvania,2022-05-01T00:00:00.000,242698.6215411804,5.384719765615046,3.0258201701093563,0.8486020711624006
3557,Georgia,2020-12-01T00:00:00.000,228382.49103920147,4.3456902074904065,6.497873633049819,0.8485920431558863
3915,Tennessee,2021-07-01T00:00:00.000,249041.1495192,4.953234119897388,5.784325637910086,0.8485818392709514
2702,Florida,2019-07-01T00:00:00.000,251423.8122004101,5.45553754827597,10,0.8485804209177354
4319,Wisconsin,2022-03-01T00:00:00.000,259031.1877330836,5.093094682170886,1.3636087484811668,0.8484659352103595
4754,Pennsylvania,2022-12-01T00:00:00.000,244700.6060996517,5.384719765615046,3.0258201701093563,0.8484358836648034
4222,South Carolina,2022-01-01T00:00:00.000,252108.47512052068,4.122332413168806,8.184690157958688,0.848434378126657
5709,Michigan,2024-07-01T00:00:00.000,234955.84218277875,4.8559432568144985,7.810145808019444,0.8484215059709793
2849,Wyoming,2019-09-01T00:00:00.000,246596.7633021136,8.393929876542643,4.562272174969624,0.8484046818795238
2452,Florida,2019-02-01T00:00:00.000,248692.22136450445,5.45553754827597,10,0.8483173597627833
2802,Florida,2019-09-01T00:00:00.000,252946.6562783378,5.45553754827597,10,0.8483094680585556
1490,New Hampshire,2017-06-01T00:00:00.000,258401.37914711583,5.0065450782640255,1.4237545565006076,0.8482420354437562
2093,Montana,2018-06-01T00:00:00.000,248209.4856123329,6.690275325424409,3.1406439854191985,0.8482385078944468
6016,Indiana,2025-01-01T00:00:00.000,239640.7643843628,3.888536857320105,3.408566221142163,0.8482204343400258
2921,Minnesota,2019-11-01T00:00:00.000,252339.0303401832,5.491053131379886,1.9978736330498184,0.8481284170510038
1363,Arizona,2017-04-01T00:00:00.000,234821.20977005505,4.661334393332254,8.654921020656138,0.8481168560787036
6066,Indiana,2025-02-01T00:00:00.000,240836.17776996727,3.888536857320105,3.408566221142163,0.8480455912976094
2602,Florida,2019-05-01T00:00:00.000,250408.7355095581,5.45553754827597,10,0.8480309516337878
961,Virginia,2016-08-01T00:00:00.000,244602.41015582005,5.539353859993753,4.611482381530984,0.8480015059677869
811,Virginia,2016-05-01T00:00:00.000,243514.3205806143,5.539353859993753,4.611482381530984,0.8479460501790415
2871,Minnesota,2019-10-01T00:00:00.000,251355.0119171841,5.491053131379886,1.9978736330498184,0.8479140299570668
